"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WESD","WESD_ATTRIBUTES"
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-02-25","0.50",",,0,0700","0.0","T,,0","20.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-02-26","0.00",",,0,0700","0.0",",,0","20.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-02-27","0.25",",,0,0700","0.0",",,0","19.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-02-28","0.22",",,0,0700","0.0",",,0","18.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-03-01","0.00",",,0,0700","0.0",",,0","18.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-03-02","0.07",",,0,0700","0.0",",,0","17.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-03-03","0.00","T,,0,0700","0.0","T,,0","17.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-03-04","0.00",",,0,0700","0.0",",,0","17.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-03-05","0.01",",,0,0700","1.0",",,0","17.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-03-06","0.98",",,0,0700","6.8",",,0","23.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-03-07","0.44",",,0,0700","2.9",",,0","25.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-03-08","0.00",",,0,0700","0.0",",,0","25.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-03-09","0.19",",,0,0700","2.6",",,0","27.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-03-10","0.27",",,0,0700","3.0",",,0","28.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-03-11","0.10",",,0,0700","1.2",",,0","28.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-03-12","0.12",",,0,0700","1.5",",,0","28.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-03-13","0.00",",,0,0700","0.0",",,0","27.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-03-14","0.00",",,0,0700","0.0",",,0","27.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-03-15","1.05",",,0,0700","5.8",",,0","32.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-03-16","0.00",",,0,0700","0.0",",,0","31.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-03-17","0.00",",,0,0700","0.0",",,0","31.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-03-18","0.00","T,,0,0700","0.0","T,,0","31.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-03-19","0.00","T,,0,0700","0.0","T,,0","31.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-03-20","0.00",",,0,0700","0.0",",,0","30.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-03-21","0.04",",,0,0700","0.3",",,0","30.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-03-22","0.43",",,0,0700","3.9",",,0","33.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-03-23","0.00","T,,0,0700","0.0","T,,0","32.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-03-24","0.00",",,0,0700","0.0",",,0","31.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-03-25","0.00",",,0,0700","0.0",",,0","30.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-03-26","0.77",",,0,0700","0.9",",,0","31.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-03-27","0.17",",,0,0700","0.0",",,0","29.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-03-28","0.00",",,0,0700","0.0",",,0","28.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-03-29","0.00",",,0,0700","0.0",",,0","28.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-03-30","0.13",",,0,0700","0.0",",,0","24.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-03-31","0.05",",,0,0700","0.0","T,,0","22.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-04-01","1.00",",,0,0700","11.2",",,0","33.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-04-02","0.00",",,0,0700","0.0",",,0","30.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-04-03","0.00",",,0,0700","0.0",",,0","25.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-04-04","0.00",",,0,0700","0.0",",,0","22.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-04-05","0.00",",,0,0700","0.0",",,0","20.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-04-06","0.15",",,0,0700","0.0",",,0","17.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-04-07","0.16",",,0,0700","0.0",",,0","16.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-04-08","0.00","T,,0,0700","0.0","T,,0",,,,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-04-09","0.00","T,,0,0700","0.0","T,,0",,,,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-04-10","0.00","P,,0,0700","0.0","P,,0",,,,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-04-11","0.00","P,,0,0700","0.0","P,,0",,,,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-04-12","0.00",",,0,0700","0.0",",,0","10.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-04-13","0.43",",,0,0700","3.0",",,0","8.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-04-14","0.00",",,0,0700","0.0",",,0","8.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-04-15","0.00",",,0,0700","0.0",",,0","7.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-04-16","0.00",",,0,0700","0.0",",,0","6.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-04-17","0.00",",,0,0700","0.0",",,0","3.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-04-18","0.27",",,0,0700","0.0",",,0","2.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-04-19","1.47",",,0,0700","0.0",",,0","1.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-04-20","0.28",",,0,0700","0.0",",,0","1.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-04-21","0.00",",,0,0700","0.0",",,0","1.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-04-22","0.00",",,0,0700","0.0",",,0","1.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-04-23","0.00","P,,0,0700","0.0","P,,0",,,,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-04-24","0.00",",,0,0700","0.0",",,0","0.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-04-25","0.00",",,0,0700","0.0",",,0","0.0","P,,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-04-26","0.00","P,,0,0700","0.0","P,,0","0.0","P,,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-04-27","0.00","P,,0,0700","0.0","P,,0","0.0","P,,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-04-28","0.35",",,0,0700","0.0","P,,0","0.0","P,,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-04-29","0.38",",,0,0700","0.0","P,,0","0.0","P,,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-04-30","0.00",",,0,0700","0.0",",,0","0.0",",,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-05-01","0.00",",,0,0700","0.0","P,,0","0.0","P,,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-05-02","0.29",",,0,0700","0.0","P,,0","0.0","P,,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-05-03","0.00",",,0,0700","0.0","P,,0","0.0","P,,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-05-04","0.43",",,0,0700",,,,,,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-05-05","0.00",",,0,0700","0.0","P,,0",,,,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-05-06","0.02",",,0,0700","0.0",",,0",,,,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-05-07","0.58",",,0,0700","0.0","T,,0","0.0","P,,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-05-08","0.00","T,,0,0700","0.0","T,,0","0.0","P,,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-05-09","0.00",",,0,0700","0.0",",,0","0.0","P,,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-05-10","0.26",",,0,0700","0.0",",,0","0.0","P,,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-05-11","0.21",",,0,0700","0.0","P,,0","0.0","P,,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-05-12","0.00",",,0,0700","0.0","P,,0","0.0","P,,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-05-13","0.02",",,0,0700","0.0","P,,0","0.0","P,,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-05-14","0.10",",,0,0700","0.0","P,,0","0.0","P,,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-05-15","0.00","T,,0,0700","0.0","P,,0","0.0","P,,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-05-16","0.19",",,0,0700","0.0","P,,0","0.0","P,,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-05-17","0.16",",,0,0700","0.0","P,,0","0.0","P,,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-05-18","0.00",",,0,0700","0.0","P,,0","0.0","P,,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-05-19","0.08",",,0,0700","0.0","P,,0","0.0","P,,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-05-20","0.46",",,0,0700","0.0","P,,0","0.0","P,,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-05-21","0.00",",,0,0700","0.0","P,,0","0.0","P,,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-05-22","0.00","T,,0,0700","0.0","P,,0","0.0","P,,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-05-23","0.01",",,0,0700","0.0","P,,0","0.0","P,,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-05-24","0.00",",,0,0700","0.0","P,,0","0.0","P,,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-05-25","0.00",",,0,0700","0.0","P,,0","0.0","P,,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-05-26","0.05",",,0,0700","0.0","P,,0","0.0","P,,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-05-27","0.00",",,0,0700","0.0","P,,0","0.0","P,,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-05-28","0.00",",,0,0700","0.0","P,,0","0.0","P,,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-05-29","0.00",",,0,0700","0.0","P,,0","0.0","P,,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-05-30","0.00",",,0,0700","0.0","P,,0","0.0","P,,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-05-31","0.00",",,0,0700","0.0","P,,0","0.0","P,,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-06-01","0.46",",,0,0700","0.0","P,,0","0.0","P,,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-06-02","0.19",",,0,0700","0.0","P,,0","0.0","P,,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-06-03","0.00",",,0,0700","0.0","P,,0","0.0","P,,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-06-04","0.00",",,0,0700","0.0","P,,0","0.0","P,,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-06-05","0.00",",,0,0700","0.0","P,,0","0.0","P,,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-06-06","0.00",",,0,0700","0.0","P,,0","0.0","P,,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-06-07","0.00",",,0,0700","0.0","P,,0","0.0","P,,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-06-08","0.00",",,0,0700","0.0","P,,0","0.0","P,,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-06-09","0.00",",,0,0700","0.0","P,,0","0.0","P,,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-06-10","0.00",",,0,0700","0.0","P,,0","0.0","P,,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-06-11","0.00",",,0,0700","0.0","P,,0","0.0","P,,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-06-12","0.00",",,0,0700","0.0","P,,0","0.0","P,,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-06-13","0.32",",,0,0700","0.0","P,,0","0.0","P,,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-06-14","0.00","T,,0,0700","0.0","P,,0","0.0","P,,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-06-15","0.00",",,0,0700","0.0","P,,0","0.0","P,,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-06-16","0.00",",,0,0700","0.0","P,,0","0.0","P,,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-06-17","0.00",",,0,0700","0.0","P,,0","0.0","P,,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-06-18","0.02",",,0,0700","0.0","P,,0","0.0","P,,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-06-19","0.98",",,0,0700","0.0","P,,0","0.0","P,,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-06-20","0.00",",,0,0700","0.0","P,,0","0.0","P,,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-06-21","0.00",",,0,0700","0.0","P,,0","0.0","P,,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-06-22","0.02",",,0,0700","0.0","P,,0","0.0","P,,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-06-23","0.00","T,,0,0700","0.0","P,,0","0.0","P,,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-06-24","0.00",",,0,0700","0.0","P,,0","0.0","P,,0",,,,,,
"USC00270045","ALEXANDRIA 4, NH US","43.6333","-71.8","353.6","1997-06-25","0.00",",,0,0700","0.0","P,,0","0.0","P,,0",,,,,,
